Hugo_Symbol,Entrez_Gene_Id
PIK3CA,357
TP53,344
TTN,321
MUC16,151
CDH1,140
GATA3,136
MAP3K1,117
KMT2C,104
RYR2,81
HMCN1,77
SYNE1,75
DMD,71
CCDC168,70
USH2A,68
FLG,65
NEB,58
SPTA1,58
MUC4,56
NCOR1,55
SYNE2,55
PTEN,55
APOB,55
ZFHX4,53
FAT3,52
MUC17,52
PKHD1L1,49
ADGRV1,48
CSMD3,47
HUWE1,46
PCLO,45
DST,45
RYR3,44
MDN1,44
OBSCN,44
ARID1A,43
SPEN,42
AHNAK,42
XIRP2,42
AKAP9,41
LRP2,41
NF1,41
ANK3,41
RUNX1,40
PRUNE2,40
CMYA5,39
LRP1B,39
BIRC6,38
DNAH8,38
TBX3,38
DNAH11,38
VPS13C,38
CSMD1,38
ABCA13,38
MACF1,37
DYNC2H1,37
DNAH17,37
CACNA1E,37
MAP2K4,37
DCHS2,37
ASPM,37
ATRX,37
KMT2D,36
PIK3R1,36
HERC1,36
DNAH6,36
RELN,36
MXRA5,36
KIAA1109,35
LRP1,35
PRKDC,35
SACS,35
DNAH10,34
TEX15,34
ANK2,34
MUC5B,34
DNAH5,33
COL14A1,33
MYCBP2,33
SVEP1,33
DNAH9,33
VPS13B,33
ERBB2,32
F5,32
ALMS1,32
CEP350,32
SRCAP,32
FAT1,32
HERC2,31
LYST,31
UTRN,31
CENPE,31
COL6A5,30
CUBN,30
TPR,30
DNAH7,30
RYR1,30
TENM1,29
ZDBF2,29
TCHH,29
CSMD2,29
COL12A1,29
ZNF292,29
SCN10A,29
FMN2,29
AKT1,29
MYH9,29
AHNAK2,28
UNC13C,28
PTPRD,28
BRCA2,28
MED12,28
QSER1,28
ADGRG4,27
MAP1A,27
AHCTF1,27
LAMA1,27
RP1,27
TG,27
HYDIN,27
PKD1L1,26
HIVEP1,26
UBR4,26
PCDH15,26
WDFY3,26
DNAH3,26
PKHD1,26
FAT2,26
SSPO,26
F8,26
APC,26
USP34,26
DYNC1H1,26
SMG1,26
PEG3,26
RB1,26
SETD2,26
EYS,26
BAZ2B,25
PDZD2,25
GON4L,25
NOTCH2,25
PREX2,25
USP9X,25
FOXA1,25
FREM2,25
REV3L,25
ANKRD12,25
CHD4,25
JMJD1C,25
DSP,25
NIPBL,25
DOCK11,25
DNAH12,25
ASH1L,25
FBN1,25
SETX,24
RNF213,24
KMT2A,24
MYO18B,24
FRAS1,24
SCN9A,24
UBR5,24
VPS13D,24
FAT4,24
MYO10,24
DMXL2,24
DNAH2,24
ANKRD36,24
WDFY4,24
SCN2A,24
SPHKAP,24
WDR87,24
AK9,24
CACNA1A,24
TAF1L,23
BRWD1,23
RANBP2,23
NBPF12,23
CBFB,23
GOLGB1,23
PCNT,23
CHD6,23
ARID1B,23
CNOT1,23
WNK3,23
BRCA1,23
VPS13A,23
FREM1,23
OTOGL,23
AFF2,23
TLN1,23
ATM,23
MGA,23
MED13,23
C5orf42,23
FLG2,23
KIAA2022,23
HECTD4,23
CDH23,23
LAMA2,23
SPAG17,22
ARFGEF1,22
ICE1,22
ATP10B,22
CPS1,22
PCNXL2,22
FLNA,22
TACC2,22
KIAA1210,22
DNAH1,22
SDK1,22
PAPPA2,22
COL6A6,22
CREBBP,22
TAF1,22
KIF13A,22
DCHS1,22
NAV3,22
MKI67,22
ABCA8,22
MROH2B,22
BOD1L1,22
CHD7,22
FLNB,21
HEATR1,21
ASXL3,21
TMEM132D,21
HELZ,21
FRMPD4,21
MLLT4,21
YLPM1,21
HRNR,21
THSD7A,21
FCGBP,21
SI,21
PLXNA2,21
NCOA6,21
TRPM6,21
PIWIL1,21
NBEAL1,21
MYLK,21
DMXL1,21
PTPRQ,21
LRRK2,21
PXDNL,21
TET1,21
MIA3,20
BSN,20
KIAA2018,20
SZT2,20
ERBB3,20
MRC1,20
THSD7B,20
CACNA1F,20
SRRM2,20
SCN1A,20
MYH8,20
TDRD6,20
HIVEP3,20
STAB2,20
TENM2,20
ARID4B,20
CENPF,20
CAMSAP2,20
PLCB4,20
RAPGEF6,20
GRIN2A,20
NBEA,20
LCT,20
MYO7A,20
KIF4A,20
MYO16,20
KDM6A,20
MAP2,20
MGAM,20
CCDC88A,20
MYO15A,20
LRRC7,20
RLF,20
CHD8,20
KCNT2,20
ANKRD11,20
KIAA1549L,20
MEGF8,20
LRBA,20
CIT,20
ZAN,20
CFTR,20
MTOR,20
ZFHX3,19
AKAP13,19
ATAD2B,19
SF3B1,19
PHKA2,19
NIN,19
AKAP6,19
CSPP1,19
ERICH3,19
ZNF536,19
KIF26B,19
